iter	Passed	Remaining
1201	21802	10846
1202	21819	10827
1203	21836	10809
1204	21852	10790
1205	21868	10771
1206	21885	10752
1207	21902	10733
1208	21919	10715
1209	21940	10698
1210	21960	10681
1211	21983	10665
1212	22000	10646
1213	22018	10628
1214	22036	10610
1215	22055	10592
1216	22071	10573
1217	22088	10554
1218	22104	10535
1219	22120	10516
1220	22136	10496
1221	22151	10477
1222	22171	10460
1223	22187	10441
1224	22207	10423
1225	22227	10406
1226	22247	10389
1227	22267	10372
1228	22285	10353
1229	22303	10335
1230	22320	10317
1231	22339	10299
1232	22357	10281
1233	22377	10263
1234	22398	10247
1235	22421	10231
1236	22443	10214
1237	22461	10196
1238	22478	10178
1239	22498	10160
1240	22517	10143
1241	22539	10126
1242	22558	10108
1243	22578	10091
1244	22598	10073
1245	22617	10056
1246	22634	10037
1247	22653	10019
1248	22670	10001
1249	22686	9982
1250	22703	9963
1251	22720	9944
1252	22737	9926
1253	22756	9908
1254	22774	9890
1255	22792	9871
1256	22811	9854
1257	22832	9837
1258	22848	9818
1259	22867	9800
1260	22893	9785
1261	22910	9766
1262	22934	9751
1263	22953	9733
1264	22975	9716
1265	22991	9698
1266	23010	9680
1267	23027	9661
1268	23045	9643
1269	23062	9624
1270	23081	9606
1271	23099	9588
1272	23117	9570
1273	23134	9551
1274	23149	9532
1275	23165	9512
1276	23181	9494
1277	23198	9475
1278	23214	9456
1279	23233	9438
1280	23249	9419
1281	23265	9400
1282	23282	9382
1283	23298	9362
1284	23314	9343
1285	23333	9326
1286	23352	9308
1287	23375	9292
1288	23395	9274
1289	23410	9255
1290	23428	9237
1291	23467	9227
1292	23487	9209
1293	23502	9190
1294	23518	9171
1295	23534	9152
1296	23549	9132
1297	23568	9115
1298	23584	9096
1299	23600	9077
1300	23616	9058
1301	23634	9039
1302	23653	9022
1303	23669	9003
1304	23685	8984
1305	23704	8966
1306	23722	8947
1307	23738	8929
1308	23753	8909
1309	23769	8890
1310	23788	8873
1311	23804	8854
1312	23823	8836
1313	23841	8818
1314	23858	8799
1315	23876	8781
1316	23892	8762
1317	23908	8743
1318	23927	8725
1319	23947	8708
1320	23964	8689
1321	23982	8671
1322	24000	8653
1323	24017	8634
1324	24035	8616
1325	24056	8599
1326	24073	8580
1327	24088	8561
1328	24104	8542
1329	24120	8523
1330	24136	8504
1331	24153	8486
1332	24169	8467
1333	24185	8448
1334	24201	8429
1335	24216	8410
1336	24231	8391
1337	24248	8372
1338	24264	8353
1339	24279	8334
1340	24296	8316
1341	24310	8296
1342	24327	8278
1343	24343	8259
1344	24359	8240
1345	24375	8221
1346	24391	8202
1347	24409	8184
1348	24425	8166
1349	24443	8147
1350	24459	8129
1351	24474	8109
1352	24488	8090
1353	24505	8071
